13,"president donald trump israeli prime minister benjamin netanyahu hold joint press conference white house.",cnn
6,"president donald trump told israeli prime minister benjamin netanyahu wednesday us going push peace deal palestinians asked israel ""to hold back"" settlement construction.",cnn
6,"president donald trump told israeli newspaper israel hayom, ""not somebody believes going forward ... settlements good thing peace,"" interview billed first israeli media since taking office.",cnn
6,president trump hosts world leaders. michael flynn resigned. high-stakes cabinet votes executive actions. we're covering trump's fourth week office here.,cnn
6,"israel crossroads: two states two states. course, world expect deal made tomorrow -- even soon. want hear israel paradigm shift, retreat old dream greater israel annexation, abandonment commitment palestinian statehood.",cnn
9,"iowa rep. steve king says general michael flynn subject ""political assassination.""",cnn
6,"like parents around country, jeanette vizguerra kissed kids last night sent bed. unlike many moms, may get home school today.",cnn
6,"high-level advisers close then-presidential nominee donald trump constant communication campaign russians known us intelligence, multiple current former intelligence, law enforcement administration officials tell cnn.",cnn
6,"former national security adviser michael flynn's security clearance suspended ""pending review,"" defense intelligence agency spokesman told cnn wednesday.",cnn
6,"the defense department might propose us send conventional ground combat forces northern syria first time speed fight isis, cnn learned.",cnn
6,the ex-wife labor secretary nominee andy puzder privately telling senators made mistake decades ago leveling domestic abuse charges appearing disguise oprah winfrey's tv show talk situation.,cnn
6,"cnn's jake tapper discusses president donald trump handled resignation national security adviser michael flynn, trump's comments claiming media creating ""conspiracy theories"" false.",cnn
6,"here reasons andy puzder, trump's pick labor secretary, good, bad time getting confirmed.",cnn
6,"earmarks, simultaneously hated beloved dc tool lets lawmakers direct money specific programs projects, may coming back.",cnn
6,"the number hate groups america spiked 2016, according southern poverty law center.",cnn
6,"andrew puzder withdrawn president donald trump's choice labor secretary, dramatic decision caused gop revolt claimed first cabinet nominee new administration.",cnn
6,white house senior policy adviser stephen miller garnered attention recent weeks one chief architects behind president donald trump's executive order temporarily banning travel seven muslim-majority countries.,cnn
6,"there poetic justice seeing man made president leaks potentially hobbled ones may legitimately reveal wrongdoing, writes paul begala.",cnn
6,"as fallout michael flynn's resignation continues, former national security adviser hillary clinton, jake sullivan, says one clinton campaign ever reached russia 2016 presidential campaign.",cnn
6,two top house republicans asked inspector general wednesday investigate leaks surrounding ouster former national security adviser michael flynn.,cnn
